resultsFileName : 2016-05-18_win32_v2.1.0_node-v4.4.4_v100to1k_1463592405929.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 23     1000     1000        1    0.199   0.323   0.647   4.456   0.161   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k1d_v1kto1k                                 
 19     1000     1000        1    1.228   1.729   2.496   7.104   0.312   0.001   0.002 100.000   0.100   filterJsArray_k1to100_fixedKey_k4d_v1kto1k                                 
 10      100      100      100    0.676   1.216   3.760   4.034   0.453   0.000   0.000 100.000   1.000   filter_k100to100_m100_v100to100                                            
  2      100      100       10    0.382   1.282   3.273   3.532   0.502   0.000   0.001  54.000   0.540   filter_k10to100_m50_v100to100                                              
 14     1000     1000       11    3.343   4.469   5.365   6.431   0.627   0.000   0.000  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  5     1000      100        1    0.529   0.900   1.297   9.943   0.383   0.005   0.009  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 13     1000     1000        1    4.931   7.245   8.439  11.509   1.365   0.005   0.007 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 20     1000     1000        1    2.255   2.631   3.132  10.294   0.336   0.002   0.003 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
 16     1000     1000        1    5.437   6.780   7.562  19.116   0.669   0.005   0.007 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
 12      100      100        1    0.294   0.666   2.749   3.834   0.374   0.003   0.007  56.000   0.560   filter_k1to100_m50_v100to100                                               
 21     1000     1000        1    3.375   5.383   7.130  14.026   0.961   0.003   0.005  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 31      100      100        1    0.223   0.620   0.829   0.832   0.147   0.002   0.006  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
  7     1000     1000        1    1.709   2.093   2.768  10.520   0.354   0.002   0.002  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 38      100      100        1    0.147   0.381   0.443   0.467   0.074   0.001   0.004  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
  8     1000     1000        1    1.142   1.642   2.389   3.105   0.232   0.001   0.002  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 30      100        1        1    0.064   0.171   0.624   0.788   0.082   0.064   0.171  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 35     1000        1        1    0.063   0.143   0.220  10.889   0.344   0.063   0.143  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 22      100        1        1    0.057   0.104   0.370   0.507   0.047   0.057   0.104  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 37     1000        1        1    0.058   0.122   0.224   0.365   0.031   0.058   0.122  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
