resultsFileName : 2016-05-18_linux_v2.1.0_node-v5.4.1_v100to1k_1463612944308.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  0     1000     1000        1    0.056   0.068   0.080   1.223   0.059   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k1d_v1kto1k                                 
 26     1000     1000        1    0.143   0.165   0.172   1.306   0.045   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k4d_v1kto1k                                 
 33      100      100      100    0.783   0.905   2.958   4.167   0.342   0.000   0.000 100.000   1.000   filter_k100to100_m100_v100to100                                            
 24      100      100       10    0.378   0.475   0.584   0.615   0.050   0.000   0.000  54.000   0.540   filter_k10to100_m50_v100to100                                              
 18     1000     1000       11    4.027   5.715   6.690  14.906   0.895   0.000   0.001  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  2     1000      100        1    0.493   0.781   1.163   7.672   0.325   0.005   0.008  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 32     1000     1000        1    4.908   7.116   8.007   9.238   1.236   0.005   0.007 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 11     1000     1000        1    1.428   1.499   1.696   8.534   0.256   0.001   0.001 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
 17     1000     1000        1    3.368   3.544   5.617   9.036   0.472   0.003   0.004 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
 22      100      100        1    0.318   0.381   0.429   0.431   0.044   0.003   0.004  56.000   0.560   filter_k1to100_m50_v100to100                                               
 23     1000     1000        1    3.929   5.307   6.169  10.501   0.696   0.004   0.005  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 28      100      100        1    0.196   0.230   3.216   4.623   0.445   0.002   0.002  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 30     1000     1000        1    1.873   3.030   3.477   3.953   0.347   0.002   0.003  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 20      100      100        1    0.133   0.158   1.017   1.519   0.138   0.001   0.002  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 31     1000     1000        1    1.259   1.364   3.026   3.564   0.318   0.001   0.001  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 10      100        1        1    0.075   0.095   0.731   1.027   0.096   0.075   0.095  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 27     1000        1        1    0.072   0.090   0.139   0.760   0.027   0.072   0.090  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 13      100        1        1    0.013   0.022   0.177   0.262   0.025   0.013   0.022  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 38     1000        1        1    0.066   0.076   0.104   2.763   0.091   0.066   0.076  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
  9      100        1      100    0.385   0.410   0.421   0.421   0.015   0.004   0.004 100.000 100.000   match_k100to100_m100_v100to100                                             
 15     1000        1      100    0.387   0.526   0.939   7.745   0.315   0.004   0.005 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 35      100        1       10    0.051   0.151   0.219   0.240   0.033   0.005   0.015  54.000  54.000   match_k10to100_m50_v100to100                                               
  7     1000        1       11    0.048   0.070   0.123   0.550   0.029   0.004   0.006  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 14      100        1        1    0.006   0.011   0.334   0.527   0.052   0.006   0.011  56.000  56.000   match_k1to100_m50_v100to100                                                
 34     1000        1        1    0.008   0.011   0.020   0.177   0.009   0.008   0.011  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
  4      100        1        1    0.002   0.004   0.296   0.471   0.047   0.002   0.004  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
  8     1000        1        1    0.002   0.003   0.004   0.013   0.001   0.002   0.003  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
  3      100        1        1    0.002   0.004   0.056   0.086   0.008   0.002   0.004  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 29     1000        1        1    0.002   0.003   0.004   0.016   0.001   0.002   0.003  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 36      100        1        1    0.002   0.004   0.008   0.011   0.001   0.002   0.004  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 25     1000        1        1    0.002   0.002   0.003   0.015   0.001   0.002   0.002  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 21      100        1        1    0.005   0.025   0.049   0.051   0.009   0.005   0.025  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 37     1000        1        1    0.006   0.022   0.068   2.864   0.091   0.006   0.022  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
  5      100        1        1    0.012   0.023   0.048   0.056   0.009   0.012   0.023  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
  1     1000        1        1    0.017   0.028   0.051   0.930   0.053   0.017   0.028  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 16      100        1        1    0.004   0.007   0.022   0.027   0.003   0.004   0.007  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
  6     1000        1        1    0.004   0.005   0.010   0.036   0.002   0.004   0.005  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 12      100        1        1    0.004   0.011   0.170   0.262   0.026   0.004   0.011  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 19     1000        1        1    0.003   0.004   0.016   0.649   0.021   0.003   0.004  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
