resultsFileName : 2016-05-16_linux_v2.0.0_node-v4.2.4_v100to1k_1463385469108.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  6     1000     1000        1    0.055   0.069   0.080   0.651   0.026   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k1d_v1kto1k                                 
 22     1000     1000        1    0.145   0.168   0.181   0.947   0.039   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k4d_v1kto1k                                 
 27      100      100      100    0.775   0.856   1.014   1.077   0.064   0.000   0.000 100.000   1.000   filter_k100to100_m100_v100to100                                            
 10      100      100       10    0.349   0.472   4.016   5.884   0.556   0.000   0.000  54.000   0.540   filter_k10to100_m50_v100to100                                              
  0     1000     1000       11    3.571   4.852   5.867  49.408   1.657   0.000   0.000  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 18     1000      100        1    0.445   0.688   0.903   2.973   0.172   0.004   0.007  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 26     1000     1000        1    4.232   6.763   7.796   8.046   1.117   0.004   0.007 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 34     1000     1000        1    1.292   1.379   1.511  72.487   2.257   0.001   0.001 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
 21     1000     1000        1    3.184   3.467   3.966  66.351   2.012   0.003   0.003 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
 35      100      100        1    0.309   0.408   0.718   0.882   0.075   0.003   0.004  56.000   0.560   filter_k1to100_m50_v100to100                                               
 24     1000     1000        1    3.494   4.334   4.973  11.579   0.512   0.003   0.004  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 15      100      100        1    0.195   0.226   1.698   2.382   0.223   0.002   0.002  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 19     1000     1000        1    1.790   2.240   2.647   3.021   0.189   0.002   0.002  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
  3      100      100        1    0.127   0.149   0.323   0.415   0.030   0.001   0.001  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
  1     1000     1000        1    1.171   1.277   2.077   2.378   0.168   0.001   0.001  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 12      100        1        1    0.022   0.044   0.125   0.168   0.016   0.022   0.044  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 37     1000        1        1    0.069   0.085   0.107   0.716   0.024   0.069   0.085  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
  5      100        1        1    0.012   0.016   0.366   0.568   0.055   0.012   0.016  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 14     1000        1        1    0.010   0.022   0.028   0.634   0.025   0.010   0.022  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 11      100        1      100    0.443   0.480   2.699   4.029   0.358   0.004   0.005 100.000 100.000   match_k100to100_m100_v100to100                                             
 20     1000        1      100    0.445   0.494   0.521   3.090   0.163   0.004   0.005 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 17      100        1       10    0.048   0.061   0.067   0.069   0.007   0.005   0.006  54.000  54.000   match_k10to100_m50_v100to100                                               
 38     1000        1       11    0.054   0.069   0.080   0.236   0.011   0.005   0.006  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
  8      100        1        1    0.007   0.012   0.022   0.024   0.003   0.007   0.012  56.000  56.000   match_k1to100_m50_v100to100                                                
 33     1000        1        1    0.010   0.021   0.101   0.606   0.028   0.010   0.021  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
  2      100        1        1    0.003   0.004   0.058   0.078   0.008   0.003   0.004  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 25     1000        1        1    0.002   0.003   0.005   0.017   0.001   0.002   0.003  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 13      100        1        1    0.002   0.004   0.017   0.023   0.002   0.002   0.004  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 28     1000        1        1    0.002   0.003   0.005   0.015   0.001   0.002   0.003  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 29      100        1        1    0.002   0.004   0.008   0.009   0.001   0.002   0.004  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 30     1000        1        1    0.002   0.003   0.013   0.017   0.001   0.002   0.003  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 31      100        1        1    0.007   0.034   0.061   0.065   0.011   0.007   0.034  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
  4     1000        1        1    0.006   0.027   0.040   0.668   0.032   0.006   0.027  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 32      100        1        1    0.017   0.042   0.094   0.097   0.015   0.017   0.042  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
  7     1000        1        1    0.016   0.027   0.033   0.344   0.014   0.016   0.027  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 16      100        1        1    0.004   0.006   0.012   0.013   0.001   0.004   0.006  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 36     1000        1        1    0.004   0.005   0.016   0.587   0.019   0.004   0.005  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
  9      100        1        1    0.006   0.017   0.135   0.201   0.019   0.006   0.017  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 23     1000        1        1    0.004   0.005   0.016   0.627   0.021   0.004   0.005  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
