resultsFileName : 2016-05-16_linux_v2.0.0_node-v5.4.1_v100to1k_1463385527711.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 10     1000     1000        1    0.340   0.379   0.405   2.775   0.099   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k1d_v1kto1k                                 
 13     1000     1000        1    0.493   0.537   0.556   2.816   0.094   0.000   0.001 100.000   0.100   filterJsArray_k1to100_fixedKey_k4d_v1kto1k                                 
 27      100      100      100    0.892   1.019   1.495   1.767   0.114   0.000   0.000 100.000   1.000   filter_k100to100_m100_v100to100                                            
 32      100      100       10    0.424   0.536   2.629   3.837   0.345   0.000   0.001  54.000   0.540   filter_k10to100_m50_v100to100                                              
  0     1000     1000       11    4.189   5.319   6.056  12.552   0.695   0.000   0.000  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 30     1000      100        1    0.583   0.810   0.913   1.915   0.148   0.006   0.008  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 28     1000     1000        1    5.913   8.092   9.087  10.635   1.191   0.006   0.008 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 23     1000     1000        1    1.589   1.806   2.606   5.694   0.233   0.002   0.002 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
 26     1000     1000        1    3.159   3.471   4.408   9.399   0.343   0.003   0.003 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
  2      100      100        1    0.371   0.514   1.088   1.143   0.115   0.004   0.005  56.000   0.560   filter_k1to100_m50_v100to100                                               
 38     1000     1000        1    4.135   5.109   5.740   7.608   0.540   0.004   0.005  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
  3      100      100        1    0.373   0.799   1.813   2.227   0.231   0.004   0.008  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
  9     1000     1000        1    4.797   5.497   5.917   7.247   0.300   0.005   0.005  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
  4      100      100        1    0.211   0.263   0.438   0.460   0.035   0.002   0.003  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 21     1000     1000        1    1.581   1.721   1.897   3.226   0.107   0.002   0.002  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 31      100        1        1    0.104   0.140   0.194   0.208   0.018   0.104   0.140  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 24     1000        1        1    0.113   0.140   0.225   8.448   0.265   0.113   0.140  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
  1      100        1        1    0.104   0.133   0.971   1.092   0.118   0.104   0.133  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
  5     1000        1        1    0.105   0.132   0.173   0.948   0.043   0.105   0.132  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
  8      100        1      100    0.505   0.570   5.251   6.644   0.656   0.005   0.006 100.000 100.000   match_k100to100_m100_v100to100                                             
 22     1000        1      100    0.502   0.566   0.611   3.544   0.216   0.005   0.006 100.000 100.000   match_k100to100_m100_v1kto1k                                               
  6      100        1       10    0.062   0.079   0.143   0.178   0.014   0.006   0.008  54.000  54.000   match_k10to100_m50_v100to100                                               
 16     1000        1       11    0.063   0.082   0.095   7.853   0.287   0.006   0.007  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 36      100        1        1    0.012   0.025   0.060   0.075   0.007   0.012   0.025  56.000  56.000   match_k1to100_m50_v100to100                                                
  7     1000        1        1    0.012   0.025   0.028   8.422   0.267   0.012   0.025  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 17      100        1        1    0.003   0.009   0.023   0.027   0.003   0.003   0.009  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 35     1000        1        1    0.003   0.004   0.016   0.017   0.001   0.003   0.004  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 12      100        1        1    0.009   0.024   0.100   0.107   0.016   0.009   0.024  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 18     1000        1        1    0.003   0.005   0.016   0.029   0.002   0.003   0.005  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 11      100        1        1    0.008   0.020   0.084   0.086   0.011   0.008   0.020  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 33     1000        1        1    0.003   0.004   0.016   0.021   0.002   0.003   0.004  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 37      100        1        1    0.009   0.042   0.152   0.184   0.021   0.009   0.042  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 15     1000        1        1    0.009   0.027   0.038   0.537   0.019   0.009   0.027  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 25      100        1        1    0.015   0.029   0.060   0.063   0.010   0.015   0.029  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 29     1000        1        1    0.020   0.033   0.037   0.056   0.009   0.020   0.033  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 20      100        1        1    0.007   0.017   0.023   0.023   0.003   0.007   0.017  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 19     1000        1        1    0.006   0.009   0.021   0.137   0.005   0.006   0.009  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 14      100        1        1    0.007   0.012   0.155   0.221   0.022   0.007   0.012  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 34     1000        1        1    0.006   0.008   0.020   0.037   0.003   0.006   0.008  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
