resultsFileName : 2016-05-04_linux_v1.0.0_node-v5.4.1_v100to1k_1462374039464.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  1     1000     1000        1    0.050   0.069  28.512  32.609   3.361   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k1d_v1kto1k                                 
  5     1000     1000        1    0.123   0.187  28.653  32.846   5.118   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k4d_v1kto1k                                 
 11      100      100      100    1.068  29.670  49.145  60.857  13.247   0.000   0.003 100.000   1.000   filter_k100to100_m100_v100to100                                            
 35      100      100       10    0.522  29.072  33.144  33.195   9.920   0.001   0.029  54.000   0.540   filter_k10to100_m50_v100to100                                              
 16     1000     1000       11   34.512  64.386  67.296  98.026  14.843   0.003   0.006  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 14     1000      100        1    0.688  29.311  30.635  33.644  10.847   0.007   0.293  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  4     1000     1000        1   62.817  68.471  95.495  98.783  16.904   0.063   0.068 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 33     1000     1000        1    2.027  31.454  34.423  42.426  14.336   0.002   0.031 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
 28     1000     1000        1   31.808  33.564  36.079  64.190  10.660   0.032   0.034 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
 15      100      100        1    0.446  29.021  29.129  29.134   8.843   0.004   0.290  56.000   0.560   filter_k1to100_m50_v100to100                                               
 25     1000     1000        1   34.607  64.489  67.560 128.098  14.765   0.035   0.064  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 13      100      100        1    0.308  28.826  30.055  30.709   7.805   0.003   0.288  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 23     1000     1000        1   31.435  32.687  36.079  65.232  12.282   0.031   0.033  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 20      100      100        1    0.187   0.543  28.699  28.716   5.578   0.002   0.005  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
  6     1000     1000        1    1.909  30.500  34.357  61.597  14.359   0.002   0.030  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 17      100        1        1    0.099   0.161  28.632  28.661   4.862   0.099   0.161  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 34     1000        1        1    0.098   0.144  28.610  64.775   4.988   0.098   0.144  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 24      100        1        1    0.083   0.113  31.606  33.330   4.346   0.083   0.113  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 29     1000        1        1    0.082   0.113  28.625  32.796   4.221   0.082   0.113  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
  8      100        1      100    0.518  29.127  32.667  33.012  10.388   0.005   0.291 100.000 100.000   match_k100to100_m100_v100to100                                             
 38     1000        1      100    0.560  29.133  31.584  33.448  10.418   0.006   0.291 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 21      100        1       10    0.065   0.090  28.686  28.708   4.874   0.006   0.009  54.000  54.000   match_k10to100_m50_v100to100                                               
  9     1000        1       11    0.071   0.156  28.595  32.606   4.023   0.006   0.014  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 37      100        1        1    0.011   0.024   0.026   0.026   0.004   0.011   0.024  56.000  56.000   match_k1to100_m50_v100to100                                                
 36     1000        1        1    0.011   0.023   0.029  28.604   1.802   0.011   0.023  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 18      100        1        1    0.003   0.005   0.230   0.358   0.035   0.003   0.005  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 19     1000        1        1    0.003   0.004   0.016   0.018   0.002   0.003   0.004  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 22      100        1        1    0.003   0.004   0.012   0.015   0.001   0.003   0.004  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 26     1000        1        1    0.003   0.004   0.017  28.514   1.107   0.003   0.004  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
  7      100        1        1    0.003   0.007   0.215   0.333   0.033   0.003   0.007  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
  0     1000        1        1    0.004   0.007   0.023  29.753   1.302   0.004   0.007  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 10      100        1        1    0.009   0.026   0.046   0.049   0.009   0.009   0.026  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 32     1000        1        1    0.005   0.006   0.019  28.541   0.902   0.005   0.006  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 31      100        1        1    0.020   0.037   0.067   0.071   0.012   0.020   0.037  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 30     1000        1        1    0.020   0.036   0.044  28.566   1.560   0.020   0.036  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 12      100        1        1    0.006   0.020   0.403   0.629   0.062   0.006   0.020  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
  3     1000        1        1    0.007   0.012   0.024  29.011   1.753   0.007   0.012  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 27      100        1        1    0.005   0.018   0.160   0.241   0.024   0.005   0.018  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
  2     1000        1        1    0.007   0.014   0.034  32.618   1.769   0.007   0.014  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
