resultsFileName : 2016-05-18_linux_v2.1.0_node-v5.4.1_v100to1k_1463612128649.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  6     1000     1000        1    0.383   0.401   0.419   3.646   0.137   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k1d_v1kto1k                                 
 35     1000     1000        1    1.020   1.072   1.158   4.717   0.161   0.001   0.001 100.000   0.100   filterJsArray_k1to100_fixedKey_k4d_v1kto1k                                 
  4      100      100      100    0.764   0.851   1.288   1.535   0.096   0.000   0.000 100.000   1.000   filter_k100to100_m100_v100to100                                            
 28      100      100       10    0.372   0.532   4.267   5.914   0.566   0.000   0.001  54.000   0.540   filter_k10to100_m50_v100to100                                              
  7     1000     1000       11    3.799   5.396   7.164 130.637   4.112   0.000   0.000  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  2     1000      100        1    0.550   0.786   1.135   8.759   0.310   0.005   0.008  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 12     1000     1000        1    4.523   7.174   8.141   9.211   1.187   0.005   0.007 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
  9     1000     1000        1    2.308   2.497   4.218  12.289   0.486   0.002   0.002 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
 31     1000     1000        1    4.866   6.764   7.634  14.308   0.682   0.005   0.007 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
  0      100      100        1    0.341   1.167   2.347   2.424   0.362   0.003   0.012  56.000   0.560   filter_k1to100_m50_v100to100                                               
 37     1000     1000        1    3.640  13.145  14.596  18.272   2.853   0.004   0.013  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
  8      100      100        1    0.241   0.276   1.183   1.536   0.134   0.002   0.003  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
