resultsFileName : 2016-05-18_linux_v2.1.0_node-v5.4.1_v100to1k_1463612413831.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 29     1000     1000        1    0.055   0.062   0.070   0.781   0.030   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k1d_v1kto1k                                 
 22     1000     1000        1    0.145   0.151   0.156   1.339   0.044   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k4d_v1kto1k                                 
 33      100      100      100    0.755   0.872   1.097   1.215   0.074   0.000   0.000 100.000   1.000   filter_k100to100_m100_v100to100                                            
 28      100      100       10    0.373   0.731   2.507   2.952   0.308   0.000   0.001  54.000   0.540   filter_k10to100_m50_v100to100                                              
  1     1000     1000       11    3.911   5.392   6.437  12.104   0.794   0.000   0.000  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  5     1000      100        1    0.507   0.756   0.957   6.282   0.286   0.005   0.008  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 10     1000     1000        1    5.156   7.764   8.877  13.347   1.340   0.005   0.008 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 20     1000     1000        1    2.354   2.515   2.692   9.272   0.260   0.002   0.003 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
 11     1000     1000        1    3.095   3.259   3.384   6.631   0.194   0.003   0.003 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
 14      100      100        1    0.323   0.432   1.956   2.541   0.234   0.003   0.004  56.000   0.560   filter_k1to100_m50_v100to100                                               
 35     1000     1000        1    3.934   5.481   6.969  13.358   0.844   0.004   0.005  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 27      100      100        1    0.359   0.510   1.143   1.206   0.140   0.004   0.005  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
  0     1000     1000        1    1.803   2.075   2.583  11.253   0.367   0.002   0.002  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
  6      100      100        1    0.129   0.148   0.358   0.454   0.034   0.001   0.001  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 18     1000     1000        1    1.202   1.310   2.939   3.457   0.324   0.001   0.001  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
  3      100        1        1    0.074   0.092   1.002   1.457   0.139   0.074   0.092  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 24     1000        1        1    0.083   0.187   0.249  11.474   0.362   0.083   0.187  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 32      100        1        1    0.061   0.089   0.149   0.156   0.014   0.061   0.089  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
  4     1000        1        1    0.062   0.069   0.104   3.863   0.131   0.062   0.069  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
  8      100        1      100    0.380   0.410   0.442   0.452   0.016   0.004   0.004 100.000 100.000   match_k100to100_m100_v100to100                                             
