resultsFileName : 2016-05-04_win32_v1.0.0_node-v4.4.3_v100to1k_1462353701196.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 37     1000     1000        1    0.037   0.085   0.101   0.449   0.023   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k1d_v1kto1k                                 
 24     1000     1000        1    1.041   2.075   2.871   3.358   0.439   0.001   0.002 100.000   0.100   filterJsArray_k1to100_fixedKey_k4d_v1kto1k                                 
 30      100      100      100    0.680   0.941   1.735   2.064   0.178   0.000   0.000 100.000   1.000   filter_k100to100_m100_v100to100                                            
  2      100      100       10    0.332   0.757   2.412   2.565   0.343   0.000   0.001  54.000   0.540   filter_k10to100_m50_v100to100                                              
 15    10000     1000       10    3.354   5.956   7.626  79.963   1.286   0.000   0.001   0.000      -    filter_k10to100_m50_v1kto10k                                               
  5     1000     1000       11    3.434   5.054   7.372  48.633   1.725   0.000   0.000  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 38     1000      100        1    0.444   0.813   1.458   4.827   0.253   0.004   0.008  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 14     1000     1000        1    6.385  14.081  19.632  23.869   3.233   0.006   0.014 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 12     1000     1000        1    2.311   3.978   4.715  13.199   0.761   0.002   0.004 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
 27     1000     1000        1    6.410  12.766  19.788  44.900   2.716   0.006   0.013 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
 34      100      100        1    0.301   0.747   3.839   5.403   0.527   0.003   0.007  56.000   0.560   filter_k1to100_m50_v100to100                                               
  6     1000     1000        1    3.498   7.784   9.756  16.726   1.648   0.003   0.008  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
  1      100      100        1    0.255   0.652   1.638   1.870   0.230   0.003   0.007  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
  3     1000     1000        1    1.794   2.656   3.571   7.721   0.405   0.002   0.003  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 39      100      100        1    0.128   0.235   0.290   0.320   0.041   0.001   0.002  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 18     1000     1000        1    1.182   2.367   2.806   4.375   0.372   0.001   0.002  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 33      100        1        1    0.070   0.187   4.677   7.192   0.709   0.070   0.187  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 32     1000        1        1    0.053   0.089   0.200  11.191   0.353   0.053   0.089  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 36      100        1        1    0.049   0.076   0.171   0.201   0.020   0.049   0.076  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
  9     1000        1        1    0.047   0.143   0.364   2.416   0.105   0.047   0.143  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 17      100        1      100    0.379   0.705   0.933   1.014   0.126   0.004   0.007 100.000 100.000   match_k100to100_m100_v100to100                                             
