resultsFileName : 2016-05-18_linux_v2.1.0_node-v4.2.4_v100to1k_1463612946571.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 31     1000     1000        1    0.055   0.069   0.081   0.658   0.031   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k1d_v1kto1k                                 
  3     1000     1000        1    0.928   0.976   1.002   4.554   0.146   0.001   0.001 100.000   0.100   filterJsArray_k1to100_fixedKey_k4d_v1kto1k                                 
 24      100      100      100    0.680   0.772   2.027   2.772   0.214   0.000   0.000 100.000   1.000   filter_k100to100_m100_v100to100                                            
 10      100      100       10    0.333   0.440   1.794   2.365   0.211   0.000   0.000  54.000   0.540   filter_k10to100_m50_v100to100                                              
  0     1000     1000       11    3.177   4.437   5.499  48.840   1.642   0.000   0.000  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  9     1000      100        1    0.458   0.681   0.785   1.276   0.121   0.005   0.007  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 33     1000     1000        1    4.178   6.718   7.688   8.015   1.118   0.004   0.007 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
  8     1000     1000        1    1.865   1.990   2.110   7.017   0.200   0.002   0.002 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
 36     1000     1000        1    3.018   3.260   3.919  37.877   1.147   0.003   0.003 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
 27      100      100        1    0.300   0.388   1.377   1.971   0.171   0.003   0.004  56.000   0.560   filter_k1to100_m50_v100to100                                               
 30     1000     1000        1    3.158   4.224   4.796  11.463   0.579   0.003   0.004  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 26      100      100        1    0.193   0.220   0.994   1.439   0.124   0.002   0.002  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 28     1000     1000        1    1.796   2.489   2.752   3.865   0.219   0.002   0.002  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 14      100      100        1    0.123   0.143   0.735   1.077   0.095   0.001   0.001  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 13     1000     1000        1    1.159   1.243   2.325   3.240   0.218   0.001   0.001  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 17      100        1        1    0.070   0.095   0.146   0.171   0.013   0.070   0.095  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
  5     1000        1        1    0.071   0.091   0.130   8.832   0.281   0.071   0.091  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 38      100        1        1    0.012   0.023   0.100   0.134   0.013   0.012   0.023  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 19     1000        1        1    0.059   0.070   0.123   2.982   0.097   0.059   0.070  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
  2      100        1      100    0.356   0.385   2.410   3.341   0.301   0.004   0.004 100.000 100.000   match_k100to100_m100_v100to100                                             
 11     1000        1      100    0.369   0.403   0.459   5.794   0.272   0.004   0.004 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 15      100        1       10    0.039   0.047   0.054   0.058   0.004   0.004   0.005  54.000  54.000   match_k10to100_m50_v100to100                                               
 35     1000        1       11    0.042   0.054   0.064   0.158   0.008   0.004   0.005  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 20      100        1        1    0.006   0.008   0.013   0.015   0.001   0.006   0.008  56.000  56.000   match_k1to100_m50_v100to100                                                
  6     1000        1        1    0.008   0.011   0.098   9.077   0.287   0.008   0.011  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 18      100        1        1    0.003   0.004   0.008   0.010   0.001   0.003   0.004  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 29     1000        1        1    0.003   0.004   0.005   0.874   0.028   0.003   0.004  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
  1      100        1        1    0.002   0.004   0.068   0.098   0.010   0.002   0.004  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 34     1000        1        1    0.002   0.003   0.007   0.521   0.016   0.002   0.003  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 23      100        1        1    0.002   0.004   0.017   0.021   0.002   0.002   0.004  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 21     1000        1        1    0.002   0.003   0.004   0.016   0.001   0.002   0.003  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
  7      100        1        1    0.008   0.035   0.143   0.153   0.021   0.008   0.035  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 32     1000        1        1    0.006   0.011   0.149   0.524   0.025   0.006   0.011  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 12      100        1        1    0.016   0.030   0.049   0.052   0.009   0.016   0.030  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 22     1000        1        1    0.015   0.021   0.026   0.074   0.007   0.015   0.021  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 37      100        1        1    0.004   0.009   0.031   0.035   0.004   0.004   0.009  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 16     1000        1        1    0.004   0.005   0.016   0.182   0.006   0.004   0.005  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 25      100        1        1    0.004   0.007   0.128   0.199   0.019   0.004   0.007  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
  4     1000        1        1    0.006   0.008   0.011   0.332   0.014   0.006   0.008  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
