resultsFileName : 2016-05-18_linux_v2.1.0_node-v4.2.4_v100to1k_1463612412001.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 21     1000     1000        1    0.058   0.064   0.071   0.750   0.028   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k1d_v1kto1k                                 
 38     1000     1000        1    0.138   0.149   0.161   0.904   0.032   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k4d_v1kto1k                                 
 24      100      100      100    0.719   0.814   3.601   5.058   0.437   0.000   0.000 100.000   1.000   filter_k100to100_m100_v100to100                                            
 37      100      100       10    0.350   0.459   0.526   0.545   0.052   0.000   0.000  54.000   0.540   filter_k10to100_m50_v100to100                                              
 16     1000     1000       11    3.607   4.764   5.666  12.873   0.675   0.000   0.000  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  2     1000      100        1    0.518   0.768   1.131   2.293   0.164   0.005   0.008  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 20     1000     1000        1    4.643   6.969   7.943  97.866   3.168   0.005   0.007 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 30     1000     1000        1    1.362   1.575   2.152  20.326   0.644   0.001   0.002 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
  6     1000     1000        1    4.576   5.105   5.797   8.738   0.270   0.005   0.005 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
  0      100      100        1    0.333   1.074   2.123   2.143   0.321   0.003   0.011  56.000   0.560   filter_k1to100_m50_v100to100                                               
 36     1000     1000        1    3.450   4.731   5.521  69.470   2.179   0.003   0.005  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 17      100      100        1    0.207   0.241   0.521   0.683   0.049   0.002   0.002  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 29     1000     1000        1    1.855   2.699   2.981   3.780   0.258   0.002   0.003  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
  3      100      100        1    0.171   0.194   0.382   0.487   0.033   0.002   0.002  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 35     1000     1000        1    1.281   1.394   2.591   3.569   0.250   0.001   0.001  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 23      100        1        1    0.068   0.093   0.201   0.233   0.019   0.068   0.093  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
  5     1000        1        1    0.071   0.088   0.246   9.458   0.302   0.071   0.088  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 25      100        1        1    0.059   0.083   0.412   0.574   0.052   0.059   0.083  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 31     1000        1        1    0.012   0.016   0.025   0.572   0.018   0.012   0.016  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 28      100        1      100    0.375   0.400   1.976   2.926   0.254   0.004   0.004 100.000 100.000   match_k100to100_m100_v100to100                                             
  8     1000        1      100    0.366   0.398   0.461   6.943   0.311   0.004   0.004 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 18      100        1       10    0.043   0.052   0.059   0.061   0.005   0.004   0.005  54.000  54.000   match_k10to100_m50_v100to100                                               
 34     1000        1       11    0.043   0.053   0.058   0.169   0.008   0.004   0.005  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 10      100        1        1    0.007   0.009   0.015   0.016   0.002   0.007   0.009  56.000  56.000   match_k1to100_m50_v100to100                                                
 14     1000        1        1    0.007   0.010   0.012   0.020   0.001   0.007   0.010  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 33      100        1        1    0.003   0.005   0.023   0.028   0.003   0.003   0.005  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 26     1000        1        1    0.003   0.003   0.004   0.017   0.001   0.003   0.003  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 11      100        1        1    0.003   0.004   0.015   0.019   0.002   0.003   0.004  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 32     1000        1        1    0.002   0.003   0.004   0.584   0.018   0.002   0.003  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 12      100        1        1    0.003   0.003   0.009   0.011   0.001   0.003   0.003  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 19     1000        1        1    0.003   0.003   0.006   2.226   0.070   0.003   0.003  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 15      100        1        1    0.006   0.023   0.049   0.052   0.009   0.006   0.023  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
