resultsFileName : 2016-05-16_win32_v2.0.0_node-v4.4.3_v100to1k_1463384789634.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  3     1000     1000        1    0.038   0.087   0.171   0.461   0.029   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k1d_v1kto1k                                 
 35     1000     1000        1    0.084   0.127   0.229   1.045   0.051   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k4d_v1kto1k                                 
 29      100      100      100    0.722   1.408   4.666   4.703   0.574   0.000   0.000 100.000   1.000   filter_k100to100_m100_v100to100                                            
  7      100      100       10    0.326   0.567   0.918   1.035   0.120   0.000   0.001  54.000   0.540   filter_k10to100_m50_v100to100                                              
 21     1000     1000       11    3.354   4.742   5.555  12.300   0.727   0.000   0.000  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 31     1000      100        1    0.455   0.852   1.463   3.066   0.222   0.005   0.009  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  6     1000     1000        1    4.594   6.999   8.633  48.417   1.884   0.005   0.007 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
  5     1000     1000        1    1.277   2.332   2.713   6.394   0.383   0.001   0.002 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
  9     1000     1000        1    3.166   4.030   5.174  44.369   1.364   0.003   0.004 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
 13      100      100        1    0.294   0.554   0.737   0.792   0.106   0.003   0.006  56.000   0.560   filter_k1to100_m50_v100to100                                               
 28     1000     1000        1    3.419   4.872   5.636  57.208   1.834   0.003   0.005  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 34      100      100        1    0.192   0.471   1.210   1.301   0.154   0.002   0.005  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
  0     1000     1000        1    1.681   2.419   3.574   7.473   0.434   0.002   0.002  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
  2      100      100        1    0.130   0.416   1.027   1.311   0.143   0.001   0.004  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 23     1000     1000        1    1.156   2.198   2.611   3.758   0.320   0.001   0.002  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 14      100        1        1    0.072   0.178   0.331   0.373   0.046   0.072   0.178  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
  8     1000        1        1    0.064   0.125   0.302   1.390   0.059   0.064   0.125  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 27      100        1        1    0.054   0.096   0.152   0.165   0.017   0.054   0.096  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 26     1000        1        1    0.055   0.131   0.280   2.050   0.081   0.055   0.131  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 17      100        1      100    0.405   0.758   0.816   0.821   0.111   0.004   0.008 100.000 100.000   match_k100to100_m100_v100to100                                             
  4     1000        1      100    0.406   0.709   0.926   3.128   0.202   0.004   0.007 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 37      100        1       10    0.049   0.097   0.157   0.159   0.021   0.005   0.010  54.000  54.000   match_k10to100_m50_v100to100                                               
 36     1000        1       11    0.049   0.094   0.179   0.269   0.025   0.004   0.009  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 38      100        1        1    0.008   0.012   0.019   0.020   0.002   0.008   0.012  56.000  56.000   match_k1to100_m50_v100to100                                                
 30     1000        1        1    0.008   0.018   0.031   0.230   0.012   0.008   0.018  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 19      100        1        1    0.003   0.005   0.011   0.014   0.001   0.003   0.005  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 22     1000        1        1    0.002   0.006   0.011   0.102   0.004   0.002   0.006  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 16      100        1        1    0.004   0.016   0.035   0.035   0.005   0.004   0.016  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 10     1000        1        1    0.004   0.007   0.015   0.293   0.010   0.004   0.007  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 12      100        1        1    0.002   0.007   0.035   0.045   0.005   0.002   0.007  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 18     1000        1        1    0.002   0.004   0.010   0.047   0.002   0.002   0.004  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 32      100        1        1    0.006   0.025   0.042   0.046   0.008   0.006   0.025  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 20     1000        1        1    0.007   0.031   0.047   0.114   0.011   0.007   0.031  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 33      100        1        1    0.009   0.023   0.048   0.057   0.009   0.009   0.023  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 15     1000        1        1    0.013   0.031   0.058   0.574   0.022   0.013   0.031  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 25      100        1        1    0.004   0.009   0.018   0.022   0.002   0.004   0.009  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 11     1000        1        1    0.004   0.010   0.022   0.291   0.010   0.004   0.010  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 24      100        1        1    0.004   0.007   0.196   0.307   0.030   0.004   0.007  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
  1     1000        1        1    0.005   0.010   0.034   0.463   0.021   0.005   0.010  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
