resultsFileName : 2016-05-04_linux_v1.0.0_node-v4.2.4_v100to1k_1462371919682.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 36     1000     1000        1    0.055   0.068   0.084   8.250   0.259   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k1d_v1kto1k                                 
 33     1000     1000        1    0.139   0.162   0.176   8.342   0.448   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k4d_v1kto1k                                 
 25      100      100      100    0.820   1.000   9.027   9.032   1.426   0.000   0.000 100.000   1.000   filter_k100to100_m100_v100to100                                            
 24      100      100       10    0.368   0.501   6.246   8.520   0.838   0.000   0.001  54.000   0.540   filter_k10to100_m50_v100to100                                              
  2    10000    10000       10   59.055  75.656  81.971  96.094   8.066   0.001   0.001  49.910   0.005   filter_k10to100_m50_v10kto10k                                              
 17     1000     1000       11    3.785  11.955  13.139  15.296   2.483   0.000   0.001  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  3     1000      100        1    0.562   0.883   8.717   9.080   1.017   0.006   0.009  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 20     1000     1000        1    6.608  16.093  17.652  19.893   3.532   0.007   0.016 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 16     1000     1000        1    2.607  10.741  11.043  16.841   2.023   0.003   0.011 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
 21     1000     1000        1    6.095  14.355  15.338 210.812   7.088   0.006   0.014 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
 38      100      100        1    0.335   0.441   3.079   4.626   0.429   0.003   0.004  56.000   0.560   filter_k1to100_m50_v100to100                                               
 34     1000     1000        1    3.885  12.102  13.359  20.414   2.535   0.004   0.012  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
  6      100      100        1    0.243   0.290   0.345   0.348   0.024   0.002   0.003  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 18     1000     1000        1    2.786  10.908  11.125  12.624   2.070   0.003   0.011  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 22      100      100        1    0.136   0.158   0.175   0.181   0.011   0.001   0.002  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 26     1000     1000        1    1.356   2.406   9.592  10.645   1.485   0.001   0.002  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
  7      100        1        1    0.058   0.090   0.291   0.307   0.037   0.058   0.090  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 11     1000        1        1    0.058   0.074   0.128  10.019   0.412   0.058   0.074  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
  9      100        1        1    0.049   0.097   5.243   8.348   0.825   0.049   0.097  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 30     1000        1        1    0.047   0.065   0.086   8.256   0.285   0.047   0.065  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
  1      100        1      100    0.447   0.518   1.359   1.369   0.152   0.004   0.005 100.000 100.000   match_k100to100_m100_v100to100                                             
  5     1000        1      100    0.428   0.475   8.596  12.882   1.089   0.004   0.005 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 39      100        1       10    0.049   0.067   0.076   0.077   0.007   0.005   0.007  54.000  54.000   match_k10to100_m50_v100to100                                               
 14     1000        1       11    0.053   0.072   0.086   8.235   0.370   0.005   0.007  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 35      100        1        1    0.007   0.016   0.034   0.040   0.004   0.007   0.016  56.000  56.000   match_k1to100_m50_v100to100                                                
 28     1000        1        1    0.009   0.019   0.023   0.037   0.003   0.009   0.019  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 19      100        1        1    0.004   0.006   0.013   0.014   0.001   0.004   0.006  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 10     1000        1        1    0.005   0.006   0.016   0.022   0.002   0.005   0.006  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 12      100        1        1    0.004   0.006   0.013   0.016   0.001   0.004   0.006  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 15     1000        1        1    0.004   0.005   0.016   0.025   0.002   0.004   0.005  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
  8      100        1        1    0.004   0.016   0.250   0.390   0.038   0.004   0.016  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 37     1000        1        1    0.002   0.003   0.013   0.022   0.001   0.002   0.003  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 27      100        1        1    0.006   0.025   0.048   0.051   0.009   0.006   0.025  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 32     1000        1        1    0.006   0.021   0.030   0.104   0.008   0.006   0.021  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 29      100        1        1    0.013   0.023   0.049   0.055   0.009   0.013   0.023  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
  0     1000        1        1    0.016   0.023   0.041   1.403   0.061   0.016   0.023  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 13      100        1        1    0.006   0.018   0.062   0.084   0.008   0.006   0.018  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 23     1000        1        1    0.004   0.005   0.016   0.564   0.018   0.004   0.005  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
  4      100        1        1    0.006   0.008   0.099   0.151   0.014   0.006   0.008  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 31     1000        1        1    0.004   0.005   0.016   0.188   0.006   0.004   0.005  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
