resultsFileName : 2016-05-16_linux_v2.0.0_node-v4.2.4_v100to1k_1463385562284.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  3     1000     1000        1    0.383   0.420   0.436   2.916   0.115   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k1d_v1kto1k                                 
  9     1000     1000        1    0.136   0.160   0.171   0.873   0.025   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k4d_v1kto1k                                 
 34      100      100      100    0.747   0.881   1.402   1.468   0.113   0.000   0.000 100.000   1.000   filter_k100to100_m100_v100to100                                            
  1      100      100       10    0.370   0.823   1.866   1.970   0.249   0.000   0.001  54.000   0.540   filter_k10to100_m50_v100to100                                              
 27     1000     1000       11    3.424   4.504   5.129   7.956   0.572   0.000   0.000  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 23     1000      100        1    0.476   0.731   1.086   2.931   0.177   0.005   0.007  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 29     1000     1000        1    5.523   8.670  10.078  57.397   2.307   0.006   0.009 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
  6     1000     1000        1    1.266   1.385   2.177   6.428   0.247   0.001   0.001 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
  7     1000     1000        1    3.059   3.205   4.282   6.482   0.259   0.003   0.003 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
 11      100      100        1    0.306   0.404   3.084   4.527   0.424   0.003   0.004  56.000   0.560   filter_k1to100_m50_v100to100                                               
 18     1000     1000        1    3.322   4.570   5.456  81.568   2.561   0.003   0.005  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 32      100      100        1    0.208   0.252   1.247   1.842   0.164   0.002   0.003  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 24     1000     1000        1    1.859   2.471   2.811   3.153   0.208   0.002   0.002  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 38      100      100        1    0.127   0.173   0.934   1.310   0.120   0.001   0.002  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 17     1000     1000        1    1.162   1.263   1.960   3.060   0.166   0.001   0.001  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 26      100        1        1    0.066   0.088   0.135   0.155   0.012   0.066   0.088  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 25     1000        1        1    0.066   0.081   0.119   9.369   0.295   0.066   0.081  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
